,google_result,youtube_link,youtube_channel_link
16,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3Dcg68Oj-qcwc&sa=U&ved=2ahUKEwilu462h53_AhUbVTABHSMLAGI4ChC3AnoECAAQAQ&usg=AOvVaw0WiJX0jjheiB1Nem1yKHoz,https://www.youtube.com/watch?v=cg68Oj-qcwc,http://www.youtube.com/@asmakhanam9468
17,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DSHtfe6z7ekI&sa=U&ved=2ahUKEwilu462h53_AhUbVTABHSMLAGI4ChC3AnoECAYQAQ&usg=AOvVaw2PP5tMF82eaabHLfG8vkVJ,https://www.youtube.com/watch?v=SHtfe6z7ekI,http://www.youtube.com/@Prasadtechintelugu
18,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DS_ICCbYTEkg&sa=U&ved=2ahUKEwilu462h53_AhUbVTABHSMLAGI4ChC3AnoECAgQAQ&usg=AOvVaw0tcqNoqnCgL8J7ELWMkISP,https://www.youtube.com/watch?v=S_ICCbYTEkg,http://www.youtube.com/@asmakhanam9468
19,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3D-jLYw_DXHiw&sa=U&ved=2ahUKEwilu462h53_AhUbVTABHSMLAGI4ChC3AnoECAcQAQ&usg=AOvVaw3IVkTbEZ-K-iM34poF6UPW,https://www.youtube.com/watch?v=-jLYw_DXHiw,http://www.youtube.com/@Aryan_vlog_9
20,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DkSwZtKz2lhQ&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBC3AnoECAAQAQ&usg=AOvVaw3GTcohsZDFUT19SpglmHok,https://www.youtube.com/watch?v=kSwZtKz2lhQ,http://www.youtube.com/@asmakhanam9468
21,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DKtI3wEWX1lU&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBC3AnoECAcQAQ&usg=AOvVaw0v-kqDAmEQcqJjth22Krt5,https://www.youtube.com/watch?v=KtI3wEWX1lU,http://www.youtube.com/@urjitawani.
22,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DX9nKImcv5wk&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBC3AnoECAgQAQ&usg=AOvVaw2aVXoZWWRtJGQu8gbajtaD,https://www.youtube.com/watch?v=X9nKImcv5wk,http://www.youtube.com/@Acoustic_Illusionists
23,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3Dwh5G03w0KS0&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBC3AnoECAQQAQ&usg=AOvVaw2Vw1cvWHPcs4Qe2d2ioqD2,https://www.youtube.com/watch?v=wh5G03w0KS0,http://www.youtube.com/@urjitawani.
24,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ/community%3Flc%3DUgzpXE3jKdldQ_bhIC54AaABAg%26lb%3DUgkxuuJyjG7qVX8jYgH-kbvM_OOzlSHyAGx2&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBAWegQICRAC&usg=AOvVaw1nCTSVbbnRjTnEfmfet3fD,https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ/community?lc=UgzpXE3jKdldQ_bhIC54AaABAg&lb=UgkxuuJyjG7qVX8jYgH-kbvM_OOzlSHyAGx2,https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ
25,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3D3CfjHqkRsPo&sa=U&ved=2ahUKEwiR3aO2h53_AhU5r4QIHW2gBEg4FBC3AnoECAEQAQ&usg=AOvVaw2uAbQVGpZAPTLWfLGHMDw5,https://www.youtube.com/watch?v=3CfjHqkRsPo,http://www.youtube.com/@MrCyberSquad69
